group 1

South Russian Shepherd, 사우스 러시안 셰퍼드
Czechoslovakian Wolfdog, 체코슬로바키안 늑대개
Slovakian Chuvach, 슬로바키안 쿠바크
Catalan Sheepdog, 카탈란 쉽독
Majorca Shepherd, 마요르카 셰퍼드
White Swiss Shepherd, 화이트 스위스 셰퍼드
Dutch Schapendoes, 더치 샤펜도스
Dutch Shepherd, 더치 셰퍼드
Saarloos Wolfhound, 사를로스 울프독
Australian Shepherd, 오스트레일리언 셰퍼드
Australian Cattle, 오스트레일리언 캐틀
Bouvier des Ardennes, 부비에 데 아르덴
Bouvier des Flandres, 부비에 데 플랑드르
Welsh Corgi (Cardigan), 웰시 코기 카디건
Welsh Corgi (Pembroke), 웰시 코기 펨브로크

group 2

Austrian Pincher, 오스트리안 핀셔
Danish-Swedish Farmdog, 덴마크-스웨덴 팜독
Affenpinscher, 아펜핀셔
Dobermann, 도베르만 핀셔
German Pincher, 독일 핀셔
Miniature Pinsher, 미니어처 핀셔
Giant Schnauzer, 자이언트 슈나우저
Miniature Schnauzer, 미니어처 슈나우저
Schnauzer, 슈나우저
Dutch Smoushond, 더치 스무순드
Russian Black Terrier, 러시안 블랙 테리어
Dogo Argentino, 도고 아르헨티노
Fila Brasileiro, 필라 브라질레이로
Shar Pei, 샤페이
Broholmer, 브로홀머
Dogue de Bordeaux, 보르도 마스티프
Boxer, 복서
Great Dane, 그레이트 데인
Rottweiler, 로트와일러
Bulldog, 불도그
Bullmastiff, 불마스티프
Mastiff, 마스티프
Italian Cane Corso, 이탈리안 카네 코르소
Neopolitan Mastiff, 네오폴리탄 마스티프
Tosa, 도사견
Saint Miguel Cattle, 생 미겔 캐틀
Majorca Mastiff, 마요르카 마스티프
Presa Canario, 프레사 카나리오
Cimarrón Uruguayo, 시마론 우루과이오
Bosnian and Herzegovinian - Croatian Shepherd, 보스니안 헤르체고비나 크로아티안 셰퍼드
Newfoundland, 뉴펀들랜드
Pyrenean Mountain, 피레네 산맥
Hovawart, 호바와트
Leonberger, 레온베르거
Landseer (European Continental Type), 랜드시어 (유럽 대륙형)
Atlas Mountain (AIDI), 아틀라스 산맥 (아이디)
Yugoslavian Shepherd - Sharplanina, 유고슬라비안 셰퍼드 - 샤플라니나
Castro Laboreiro, 카스트로 라보레이로
Estrela Mountain, 에스트렐라 마운틴
Rafeiro of Alentejo, 라페이로 도 알렌테조
Romanian Bucovina Shepherd, 루마니안 부코비나 셰퍼드
Caucasian Shepherd, 코카시안 셰퍼드
Central Asia Shepherd, 센트럴 아시아 셰퍼드
Karst Shepherd, 카르스트 셰퍼드
Pyrenean Mastiff, 피레니언 마스티프
Spanish Mastiff, 스페인 마스티프
ST. Bernard, 세인트 버나드
Kangal Shepherd, 캉갈 셰퍼드
Tibetan Mastiff, 티베트 마스티프
Appenzell Cattle, 애펜젤 캐틀
Bernese Mountain, 버니즈 마운틴
Entlebuch Cattle, 엔틀부흐 캐틀
Great Swiss Mountain, 그레이트 스위스 마운틴

group 3

Brazilian Terrier, 브라질리언 테리어
German Hunting Terrier, 독일 헌팅 테리어
Airedale Terrier, 에어데일 테리어
Bedlington Terrier, 베들링턴 테리어
Border Terrier, 보더 테리어
Fox Terrier (Smooth), 폭스 테리어 (스무스)
Fox Terrier (Wire), 폭스 테리어 (와이어)
Lakeland Terrier, 레이크랜드 테리어
Manchester Terrier, 맨체스터 테리어
Parson Russell Terrier, 파슨 러셀 테리어
Welsh Terrier, 웰시 테리어
Irish Glen of Imaal Terrier, 아이리시 글렌 오브 이말 테리어
Irish Soft Coated Wheaten Terrier, 아이리시 소프트 코티드 휘튼 테리어
Irish Terrier, 아이리시 테리어
Kerry Blue Terrier, 케리 블루 테리어
Australian Terrier, 오스트레일리안 테리어
Cesky Terrier, 체스키 테리어
Cairn Terrier, 케언 테리어
Dandie Dinmont Terrier, 댄디 딘몬트 테리어
Jack Russell Terrier, 잭 러셀 테리어
Norfolk Terrier, 노퍽 테리어
Norwich Terrier, 노리치 테리어
Scottish Terrier, 스코티시 테리어
Sealyham Terrier, 씰리햄 테리어
Skye Terrier, 스카이 테리어
West Highland White Terrier, 웨스트 하이랜드 화이트 테리어
Japanese Terrier, 재패니즈 테리어
Bull Terrier, 불 테리어
Miniature Bull Terrier, 미니어처 불 테리어
Staffordshire Bull Terrier, 스태퍼드셔 불 테리어
American Staffordshire Bull Terrier, 아메리칸 스태퍼드셔 불 테리어
Australian Silky Terrier, 오스트레일리안 실키 테리어
English Toy Terrier (Black & Tan), 잉글리시 토이 테리어 (블랙 & 탄)
Yorkshire Terrier, 요크셔 테리어


group 4

Dachshund, 닥스훈트

group 5

Canadian Eskimo Dog, 캐나디언 에스키모 도그
Greenland Dog, 그린란드 도그
Samoyed, 사모예드
Alaskan Malamute, 알래스칸 말라뮤트
Siberian Husky, 시베리안 허스키
Finnish Spitz, 핀란드 스피츠
Karelian Bear Dog, 카렐리안 베어 도그
Norwegian Elkhound Black, 노르웨이안 엘크하운드 블랙
Norwegian Elkhound Grey, 노르웨이안 엘크하운드 그레이
Norwegian Lundehund, 노르웨이안 룬데훈드
Siberian Laika, 시베리안 라이카
Jämthund, 옌툰드
Norrbottenspitz, 노르보텐스피츠
Finnish Lapponian Dog, 핀란드 라포니안 도그
Lapponian Herder, 라포니안 허더
Icelandic Sheepdog, 아이슬란딕 쉽독
Norwegian Buhund, 노르웨이안 부훈드
Swedish Lapphund, 스웨덴 래퍼훈드
Swedish Vallhund, 스웨덴 발훈드
German Spitz, 저먼 스피츠
Italian Volpino, 이탈리안 볼피노
Chow Chow, 차우차우
Eurasian, 유라시안
Akita, 아키타
American Akita, 아메리칸 아키타
Hokkaido, 홋카이도
Japanese Spitz, 재패니즈 스피츠
Kai, 카이
Kishu, 기슈
Shiba, 시바
Shikoku, 시코쿠
Korea Jindo Dog, 진돗개
Thai Bangkaew Dog, 타이 방카우 도그
Basenji, 바센지
Canaan dog, 가나안 도그
Pharaoh Hound, 파라오 하운드
Xoloitzcuintle, 솔로이츠쿠인틀레
Peruvian Hairless Dog, 페루비안 헤어리스 도그
Cirneco Dell'etna, 치르네코 델레트나
Portuguese Warren Hound-Portuguese Podengo, 포르투갈 워런 하운드-포르투갈 포덴고
Canarian Warren Hound, 카나리안 워런 하운드
Ibizan Podenco, 이비잔 포덴코
Taiwan Dog, 타이완 도그
Thai Ridgeback Dog, 타이 리지백 도그

group 6

Bloodhound, 블러드하운드
Brazilian Tracker, 브라질리안 트래커
Billy, 빌리
French Tricolour Hound, 프렌치 트라이컬러 하운드
French White & Black Hound, 프렌치 화이트 & 블랙 하운드
French White and Orange Hound, 프렌치 화이트 앤드 오렌지 하운드
Gascon Saintongeois, 가스콩 생통주아
Grand Griffon Vendeen, 그랑 그리폰 벤딘
Great Anglo-French Tricolour Hound, 그레이트 앵글로-프렌치 트라이컬러 하운드
Great Anglo-French White & Orange Hound, 그레이트 앵글로-프렌치 화이트 & 오렌지 하운드
Great Anglo-French White and Black Hound, 그레이트 앵글로-프렌치 화이트 앤드 블랙 하운드
Great Gascony Blue, 그레이트 가스코니 블루
Poitevin, 포아테뱅
English Foxhound, 잉글리시 폭스하운드
Otterhound, 오타하운드
Polish Hound, 폴리쉬 하운드
American Foxhound, 아메리칸 폭스하운드
Black and Tan Coonhound, 블랙 앤드 탄 쿤하운드
Austrian Black and Tan Hound, 오스트리안 블랙 앤드 탄 하운드
Coarse-haired Styrian Hound, 코스헤어드 스티리안 하운드
Tyrolean Hound, 티롤리안 하운드
Bosnian Broken-haired Hound - Called Barak, 보스니안 브로큰-헤어드 하운드 - 바락
Istrian Short-haired Hound, 이스트리안 쇼트-헤어드 하운드
Istrian Wire-haired Hound, 이스트리안 와이어-헤어드 하운드
Posavatz Hound, 포사바츠 하운드
Finnish Hound, 핀란드 하운드
Ariegeois, 아리에주아
Artois Hound, 아르투아 하운드
Beagle Harrier, 비글 해리어
Blue Gascony Griffon, 블루 가스콩 그리폰
Briquet Griffon Vendeen, 브리케 그리폰 벤딘
Fawn Brittany Griffon, 폰 브리타니 그리폰
Griffon Nivernais, 그리폰 니베르네
Medium-sized Anglo-French Hound, 미디엄-사이즈드 앵글로-프렌치 하운드
Porchlaine, 포슐레인
